wind speed, weakest outbuilding, outbuilding strong, outbuilding, weak brick structure, strong brick structure, concrete buidling
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0.001,0.001,0,0,0,0
28,0.01,0.0015,0,0,0,0
29,0.05,0.002,0,0,0,0
30,0.5,0.005,0,0,0,0
31,1,0.1,0,0,0,0
32,2.2,0.3,0,0,0,0
33,5,0.7,0.001,0,0,0
34,10,1,0.0015,0,0,0
35,20,1.5,0.002,0,0,0
36,28,2.3,0.005,0,0,0
37,38,3,0.1,0,0,0
38,45,3.8,0.3,0,0,0
39,53,4.5,0.6,0,0,0
40,58,5.5,0.8,0.001,0,0
41,65,6.5,1.3,0.0015,0,0
42,70,7.5,1.7,0.002,0,0
43,75,8.5,2.4,0.005,0,0
44,80,10,3,0.1,0,0
45,85,11.5,3.5,0.3,0,0
46,89,14,4,0.6,0,0
47,92,18,4.7,0.8,0,0
48,94,22,5.5,1.3,0,0
49,96,26,6.5,1.7,0.001,0
50,98,30,7.3,2.4,0.0015,0
51,99,34,8,3,0.002,0
52,99.5,38,9,3.5,0.005,0
53,99.9,43,10,4,0.1,0
54,99.999,47,10.8,4.6,0.3,0
55,100,50,11.8,5,0.6,0
56,100,55,12.6,5.7,0.8,0
57,100,59,13.5,6.4,1,0
58,100,63,14.2,7,1.2,0
59,100,68,15,7.6,1.4,0
60,100,75,16,8.2,1.6,0.001
61,100,79,16.9,8.8,2,0.0015
62,100,83,18.5,9.3,2.3,0.002
63,100,86,21,10,2.6,0.005
64,100,88,23,10.8,2.9,0.1
65,100,90,26,11.8,3.3,0.3
66,100,92,29,12.6,3.8,0.6
67,100,94,33,13.3,4.2,0.8
68,100,95,37,14.2,4.6,1
69,100,96,41,15,5,1.2
70,100,97,44,16,5.5,1.4
71,100,97.5,47,16.9,6,1.6
72,100,98.5,50,17.8,6.5,2
73,100,99,52,20,6.9,2.3
74,100,99.5,54,22,7.5,2.6
75,100,99.7,56,24,8,2.9
76,100,99.999,59,28,8.5,3.3
77,100,100,64,32,9,3.8
78,100,100,67,35,9.5,4.2
79,100,100,70,38,10,4.6
80,100,100,72,40.5,10.8,5
81,100,100,75,43.5,11.8,5.5
82,100,100,79,46,12.6,6
83,100,100,83,48,13.3,6.5
84,100,100,86,50,14.2,6.9
85,100,100,88,52,15,7.5
86,100,100,90,54,16,8
87,100,100,91,56,16.9,8.5
88,100,100,92,58,17.8,9
89,100,100,94,60.5,20,9.5
90,100,100,95,63,22,10
91,100,100,96,66,24,10.8
92,100,100,97,70,28,11.8
93,100,100,97.5,73,32,12.6
94,100,100,98.5,76,35,13.5
95,100,100,99,78,38,14.2
96,100,100,99.5,80,40.5,15
97,100,100,99.7,82,43.5,16
98,100,100,99.99,84,46,17
99,100,100,100,85.5,48,19
100,100,100,100,87,50,21
101,100,100,100,88.5,52,23
102,100,100,100,90,54,25
103,100,100,100,91,56,27
104,100,100,100,92,58,29
105,100,100,100,93,60,31
106,100,100,100,94,62,33
107,100,100,100,95,64,35
108,100,100,100,96,66,37
109,100,100,100,96.5,68,39
110,100,100,100,97,70,41
111,100,100,100,97.5,72,43
112,100,100,100,98,74,45
113,100,100,100,98.5,76,47
114,100,100,100,98.9,78,49
115,100,100,100,99.3,80,51
116,100,100,100,99.5,82,53
117,100,100,100,99.7,84,55
118,100,100,100,99.99,85.5,57
119,100,100,100,100,87,59
120,100,100,100,100,88,61
121,100,100,100,100,89,63
122,100,100,100,100,90,65
123,100,100,100,100,91,67
124,100,100,100,100,92,69
125,100,100,100,100,93,71
126,100,100,100,100,94,73
127,100,100,100,100,95,75
128,100,100,100,100,96,77
129,100,100,100,100,96.5,78.5
130,100,100,100,100,97,80
131,100,100,100,100,97.5,81
132,100,100,100,100,98,82
133,100,100,100,100,98.5,83
134,100,100,100,100,98.9,84.1
135,100,100,100,100,99.3,84.8
136,100,100,100,100,99.5,85.5
137,100,100,100,100,99.7,86.1
138,100,100,100,100,99.9,86.5
139,100,100,100,100,99.99,86.8
140,100,100,100,100,100,87
